scenario,carico_mbit,ripetizione,seq,rtt_ms
slicing,10,1,64,10.100
slicing,10,1,65,12.300
slicing,10,1,66,10.800
slicing,10,1,67,11.200
slicing,10,1,68,11.200
slicing,10,1,69,9.600
slicing,10,1,70,10.400
slicing,10,1,71,9.650
slicing,10,1,72,10.000
slicing,10,1,73,10.300
slicing,10,1,74,9.890
slicing,10,1,75,10.500
slicing,10,1,76,11.600
slicing,10,1,77,9.460
slicing,10,1,78,10.200
slicing,10,1,79,11.300
slicing,10,1,80,10.100
slicing,10,1,81,12.000
slicing,10,1,82,9.550
slicing,10,1,83,11.700
slicing,10,1,84,11.800
slicing,10,1,85,11.800
slicing,10,1,86,9.920
slicing,10,1,87,9.120
slicing,10,1,88,10.100
slicing,10,1,89,9.520
slicing,10,1,90,8.950
slicing,10,1,91,10.100
slicing,10,1,92,10.700
slicing,10,1,93,10.700
slicing,10,1,94,10.500
slicing,10,1,95,10.500
slicing,10,1,96,11.100
slicing,10,1,97,10.500
slicing,10,1,98,9.710
slicing,10,1,99,9.500
slicing,10,2,0,9.260
slicing,10,2,1,9.340
slicing,10,2,2,11.400
slicing,10,2,3,9.840
slicing,10,2,4,11.500
slicing,10,2,5,9.730
slicing,10,2,6,9.910
slicing,10,2,7,11.100
slicing,10,2,8,11.700
slicing,10,2,9,11.200
slicing,10,2,10,10.000
slicing,10,2,11,12.200
slicing,10,2,12,10.000
slicing,10,2,13,9.710
slicing,10,2,14,11.000
slicing,10,2,15,10.800
slicing,10,2,16,11.200
slicing,10,2,17,11.500
slicing,10,2,18,10.800
slicing,10,2,19,13.500
slicing,10,2,20,10.100
slicing,10,2,21,10.200
slicing,10,2,22,11.300
slicing,10,2,23,10.100
slicing,10,2,24,9.760
slicing,10,2,25,10.800
slicing,10,2,26,9.290
slicing,10,2,27,10.300
slicing,10,2,28,11.000
slicing,10,2,29,11.100
slicing,10,2,30,11.100
slicing,10,2,31,10.900
slicing,10,2,32,9.710
slicing,10,2,33,10.300
slicing,10,2,34,9.920
slicing,10,2,35,8.570
slicing,10,2,36,9.360
slicing,10,2,37,10.000
slicing,10,2,38,10.800
slicing,10,2,39,10.400
slicing,10,2,40,8.380
slicing,10,2,41,10.500
slicing,10,2,42,12.000
slicing,10,2,43,11.500
slicing,10,2,44,9.670
slicing,10,2,45,10.200
slicing,10,2,46,9.670
slicing,10,2,47,10.700
slicing,10,2,48,8.810
slicing,10,2,49,11.300
slicing,10,2,50,10.600
slicing,10,2,51,9.840
slicing,10,2,52,11.400
slicing,10,2,53,12.000
slicing,10,2,54,11.500
slicing,10,2,55,10.700
slicing,10,2,56,9.880
slicing,10,2,57,10.000
slicing,10,2,58,13.400
slicing,10,2,59,10.200
slicing,10,2,60,10.400
slicing,10,2,61,9.480
slicing,10,2,62,10.100
slicing,10,2,63,11.300
slicing,10,2,64,11.100
slicing,10,2,65,15.900
slicing,10,2,66,9.970
slicing,10,2,67,11.900
slicing,10,2,68,10.800
slicing,10,2,69,9.480
slicing,10,2,70,11.400
slicing,10,2,71,9.550
slicing,10,2,72,11.300
slicing,10,2,73,12.000
slicing,10,2,74,10.100
slicing,10,2,75,10.300
slicing,10,2,76,10.800
slicing,10,2,77,13.300
slicing,10,2,78,10.600
slicing,10,2,79,11.100
slicing,10,2,80,9.450
slicing,10,2,81,10.700
slicing,10,2,82,9.340
slicing,10,2,83,10.800
slicing,10,2,84,10.700
slicing,10,2,85,10.200
slicing,10,2,86,10.900
slicing,10,2,87,9.210
slicing,10,2,88,9.020
slicing,10,2,89,10.700
slicing,10,2,90,8.740
slicing,10,2,91,9.350
slicing,10,2,92,9.450
slicing,10,2,93,11.700
slicing,10,2,94,9.130
slicing,10,2,95,12.100
slicing,10,2,96,10.900
slicing,10,2,97,10.800
slicing,10,2,98,9.720
slicing,10,2,99,11.000
slicing,10,3,0,9.910
slicing,10,3,1,10.500
slicing,10,3,2,10.200
slicing,10,3,3,9.880
slicing,10,3,4,11.400
slicing,10,3,5,10.700
slicing,10,3,6,9.840
slicing,10,3,7,10.400
slicing,10,3,8,11.000
slicing,10,3,9,11.300
slicing,10,3,10,9.260
slicing,10,3,11,9.570
slicing,10,3,12,11.100
slicing,10,3,13,12.000
slicing,10,3,14,10.500
slicing,10,3,15,11.600
slicing,10,3,16,9.290
slicing,10,3,17,10.400
slicing,10,3,18,8.340
slicing,10,3,19,10.300
slicing,10,3,20,10.200
slicing,10,3,21,11.600
slicing,10,3,22,10.500
slicing,10,3,23,10.800
slicing,10,3,24,10.400
slicing,10,3,25,12.100
slicing,10,3,26,9.880
slicing,10,3,27,9.210
slicing,10,3,28,11.100
slicing,10,3,29,11.200
slicing,10,3,30,9.570
slicing,10,3,31,10.000
slicing,10,3,32,11.600
slicing,10,3,33,9.940
slicing,10,3,34,11.300
slicing,10,3,35,9.300
slicing,10,3,36,11.400
slicing,10,3,37,9.430
slicing,10,3,38,10.100
slicing,10,3,39,10.200
slicing,10,3,40,10.700
slicing,10,3,41,11.100
slicing,10,3,42,9.870
slicing,10,3,43,10.700
slicing,10,3,44,8.760
slicing,10,3,45,9.380
slicing,10,3,46,9.480
slicing,10,3,47,10.000
slicing,10,3,48,11.500
slicing,10,3,49,10.600
slicing,10,3,50,10.100
slicing,10,3,51,9.990
slicing,10,3,52,9.690
slicing,10,3,53,10.500
slicing,10,3,54,9.790
slicing,10,3,55,11.700
slicing,10,3,56,11.600
slicing,10,3,57,10.800
slicing,10,3,58,9.440
slicing,10,3,59,9.060
slicing,10,3,60,9.670
slicing,10,3,61,10.600
slicing,10,3,62,10.800
slicing,10,3,63,10.900
slicing,10,3,64,10.700
slicing,10,3,65,11.200
slicing,10,3,66,11.200
slicing,10,3,67,9.190
slicing,10,3,68,9.520
slicing,10,3,69,11.200
slicing,10,3,70,10.800
slicing,10,3,71,9.360
slicing,10,3,72,9.900
slicing,10,3,73,10.900
slicing,10,3,74,9.610
slicing,10,3,75,11.700
slicing,10,3,76,10.000
slicing,10,3,77,8.670
slicing,10,3,78,10.800
slicing,10,3,79,10.700
slicing,10,3,80,12.700
slicing,10,3,81,12.100
slicing,10,3,82,9.830
slicing,10,3,83,12.300
slicing,10,3,84,11.500
slicing,10,3,85,12.200
slicing,10,3,86,10.200
slicing,10,3,87,10.400
slicing,10,3,88,10.400
slicing,10,3,89,10.300
slicing,10,3,90,10.200
slicing,10,3,91,11.300
slicing,10,3,92,9.290
slicing,10,3,93,10.900
slicing,10,3,94,11.400
slicing,10,3,95,11.800
slicing,10,3,96,9.740
slicing,10,3,97,10.900
slicing,10,3,98,9.870
slicing,10,3,99,10.900
slicing,20,1,0,10.100
slicing,20,1,1,10.900
slicing,20,1,2,11.000
slicing,20,1,3,9.150
slicing,20,1,4,9.850
slicing,20,1,5,11.300
slicing,20,1,6,12.100
slicing,20,1,7,10.200
slicing,20,1,8,10.000
slicing,20,1,9,9.410
slicing,20,1,10,10.500
slicing,20,1,11,10.900
slicing,20,1,12,10.200
slicing,20,1,13,11.700
slicing,20,1,14,9.970
slicing,20,1,15,11.700
slicing,20,1,16,11.200
slicing,20,1,17,10.300
slicing,20,1,18,9.970
slicing,20,1,19,10.100
slicing,20,1,20,10.100
slicing,20,1,21,9.320
slicing,20,1,22,11.200
slicing,20,1,23,9.810
slicing,20,1,24,10.700
slicing,20,1,25,10.500
slicing,20,1,26,11.000
slicing,20,1,27,10.100
slicing,20,1,28,10.800
slicing,20,1,29,10.900
slicing,20,1,30,9.290
slicing,20,1,31,11.100
slicing,20,1,32,11.300
slicing,20,1,33,9.470
slicing,20,1,34,10.300
slicing,20,1,35,10.100
slicing,20,1,36,12.000
slicing,20,1,37,9.050
slicing,20,1,38,10.700
slicing,20,1,39,11.100
slicing,20,1,40,10.900
slicing,20,1,41,10.200
slicing,20,1,42,10.800
slicing,20,1,43,10.600
slicing,20,1,44,9.970
slicing,20,1,45,8.770
slicing,20,1,46,11.600
slicing,20,1,47,9.180
slicing,20,1,48,10.900
slicing,20,1,49,9.630
slicing,20,1,50,11.200
slicing,20,1,51,10.800
slicing,20,1,52,10.300
slicing,20,1,53,12.200
slicing,20,1,54,11.000
slicing,20,1,55,11.000
slicing,20,1,56,9.660
slicing,20,1,57,9.470
slicing,20,1,58,10.200
slicing,20,1,59,10.200
slicing,20,1,60,9.880
slicing,20,1,61,8.670
slicing,20,1,62,11.100
slicing,20,1,63,10.700
slicing,20,1,64,11.700
slicing,20,1,65,11.000
slicing,20,1,66,10.100
slicing,20,1,67,9.820
slicing,20,1,68,9.770
slicing,20,1,69,10.800
slicing,20,1,70,11.500
slicing,20,1,71,10.300
slicing,20,1,72,12.300
slicing,20,1,73,9.640
slicing,20,1,74,10.100
slicing,20,1,75,11.100
slicing,20,1,76,10.300
slicing,20,1,77,9.350
slicing,20,1,78,10.800
slicing,20,1,79,10.700
slicing,20,1,80,9.610
slicing,20,1,81,11.100
slicing,20,1,82,9.170
slicing,20,1,83,11.400
slicing,20,1,84,10.200
slicing,20,1,85,12.100
slicing,20,1,86,11.900
slicing,20,1,87,10.300
slicing,20,1,88,10.500
slicing,20,1,89,10.300
slicing,20,1,90,11.700
slicing,20,1,91,11.700
slicing,20,1,92,11.500
slicing,20,1,93,10.700
slicing,20,1,94,10.200
slicing,20,1,95,12.300
slicing,20,1,96,9.740
slicing,20,1,97,12.100
slicing,20,1,98,12.700
slicing,20,1,99,9.980
slicing,20,2,0,9.610
slicing,20,2,1,13.100
slicing,20,2,2,11.500
slicing,20,2,3,10.100
slicing,20,2,4,11.500
slicing,20,2,5,9.440
slicing,20,2,6,10.900
slicing,20,2,7,11.500
slicing,20,2,8,11.600
slicing,20,2,9,11.100
slicing,20,2,10,11.500
slicing,20,2,11,11.200
slicing,20,2,12,10.900
slicing,20,2,13,8.640
slicing,20,2,14,8.730
slicing,20,2,15,10.300
slicing,20,2,16,10.300
slicing,20,2,17,11.800
slicing,20,2,18,10.400
slicing,20,2,19,11.700
slicing,20,2,20,9.070
slicing,20,2,21,10.100
slicing,20,2,22,10.900
slicing,20,2,23,9.100
slicing,20,2,24,9.730
slicing,20,2,25,10.000
slicing,20,2,26,11.500
slicing,20,2,27,10.100
slicing,20,2,28,11.700
slicing,20,2,29,9.510
slicing,20,2,30,9.830
slicing,20,2,31,11.500
slicing,20,2,32,11.500
slicing,20,2,33,8.610
slicing,20,2,34,11.400
slicing,20,2,35,11.400
slicing,20,2,36,10.500
slicing,20,2,37,10.800
slicing,20,2,38,11.300
slicing,20,2,39,11.100
slicing,20,2,40,12.200
slicing,20,2,41,11.100
slicing,20,2,42,10.700
slicing,20,2,43,10.300
slicing,20,2,44,11.800
slicing,20,2,45,10.500
slicing,20,2,46,11.400
slicing,20,2,47,11.100
slicing,20,2,48,12.500
slicing,20,2,49,11.300
slicing,20,2,50,9.200
slicing,20,2,51,11.500
slicing,20,2,52,9.580
slicing,20,2,53,10.000
slicing,20,2,54,11.900
slicing,20,2,55,10.500
slicing,20,2,56,8.990
slicing,20,2,57,10.600
slicing,20,2,58,10.700
slicing,20,2,59,9.420
slicing,20,2,60,10.500
slicing,20,2,61,8.910
slicing,20,2,62,10.400
slicing,20,2,63,10.300
slicing,20,2,64,10.300
slicing,20,2,65,10.900
slicing,20,2,66,10.300
slicing,20,2,67,10.900
slicing,20,2,68,11.300
slicing,20,2,69,9.250
slicing,20,2,70,10.700
slicing,20,2,71,11.300
slicing,20,2,72,9.380
slicing,20,2,73,10.200
slicing,20,2,74,11.400
slicing,20,2,75,10.300
slicing,20,2,76,11.200
slicing,20,2,77,10.200
slicing,20,2,78,11.100
slicing,20,2,79,9.490
slicing,20,2,80,9.260
slicing,20,2,81,10.800
slicing,20,2,82,11.100
